Cuenca;Cuerpo de Agua;Codigo;Fase;An/O INICIO;An/O FINAL;Responsable del muestreo;Clase: Indice Holandes;Clase: Indice BMWP-CR;Clasificacion del tramo del CA;geometry;Longitud (CRTM05);Latitud (CRTM05);Sitio de Muestreo;Provincia;Canton;Distrito;Mes;Año;Régimen_de_lluvia;Indice_Holandés;Interpretacion_I_Holandés;Indice_Biológico;Interpretacion_I_Biológico;ESTADO ACTUAL;
Esquinas;Piedras Blancas;PS-ESQ-01;V;2019;2020;UCR;2;1;2;c(583319,21, 970837,56);583319,21;970837,56;Punto 1, Rio Piedras Blancas;Puntarenas;Osa;Piedras Blancas;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;187;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Esquinas;Piedras Blancas;PS-ESQ-02;V;2019;2020;UCR;1;1;1;c(603913,51, 958332,51);603913,51;958332,51;Punto 2, Rio Piedras Blancas;Puntarenas;Osa;Piedras Blancas;Agosto;2019;Estacion lluviosa;3;Sin contaminacion;158;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Esquinas;Claro;PS-ESQ-03;V;2019;2020;UCR;2;1;2;c(593881,96, 958299,35);593881,96;958299,35;Punto 3, Rio Claro;Puntarenas;Golfito;Golfito;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;158;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Esquinas;Coto Colorado;PS-ESQ-04;V;2019;2020;UCR;2;1;2;c(602048,97, 956133);602048,97;956133;Punto 4, Rio Coto Colorado;Puntarenas;Golfito;Golfito;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;127;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Esquinas;Corredores;PS-ESQ-05;V;2019;2020;UCR;2;1;2;c(616296,2, 955585,48);616296,2;955585,48;Punto 5, Rio Corredores;Puntarenas;Corredores;Corredor;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;169;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Esquinas;Coloradillo;PS-ESQ-06;V;2019;2020;UCR;2;1;2;c(620864,78, 951524,78);620864,78;951524,78;Punto 6, Rio Coloradito;Puntarenas;Corredores;Paso Canoas;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;197;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Grande de Terraba;Quebradas;PS-GTE-01;V;2019;2020;UNA;3;1;3;c(532996, 1041620);532996;1041620;PS-GTE-01;San Jose;Perez Zeledon;Rivas;Agosto;2019;Estacion lluviosa;5;Contaminacion incipiente;143;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;8;Contaminacion moderada;115;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;7;Contaminacion moderada;160;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;8;N/A;123;Aguas de calidad excelente;;
Grande de Terraba;Pedregoso;PS-GTE-02;V;2019;2020;UNA;2;1;2;c(530449, 1034120);530449;1034120;PS-GTE-02;San Jose;Perez Zeledon;San Isidro del General;Agosto;2019;Estacion lluviosa;6;Contaminacion incipiente;145;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;4;Contaminacion incipiente;109;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;4;Contaminacion incipiente;115;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;8;Contaminacion moderada;139;Aguas de calidad excelente;;
Grande de Terraba;Pacuar;PS-GTE-03;V;2019;2020;UNA;2;1;2;c(530356, 1031640);530356;1031640;PS-GTE-03;San Jose;Perez Zeledon;San Isidro del General;Agosto;2019;Estacion lluviosa;6;Contaminacion incipiente;123;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;4;Contaminacion incipiente;107;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;5;Contaminacion incipiente;89;Aguas de calidad regular, contaminacion moderada;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;8;Contaminacion moderada;82;Aguas de calidad regular, contaminacion moderada;;
Grande de Terraba;General;PS-GTE-04;V;2019;2020;UNA;2;1;2;c(540450, 1024550);540450;1024550;PS-GTE-04;San Jose;Perez Zeledon;San Isidro del General;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;114;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;3;Sin contaminacion;113;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;4;Contaminacion incipiente;140;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;9;Contaminacion moderada;111;Aguas de calidad excelente;;
Grande de Terraba;Volcan;PS-GTE-05;V;2019;2020;UNA;2;1;2;c(560402, 1018153);560402;1018153;PS-GTE-05;Puntarenas;Buenos Aires;Volcan;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;130;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;6;Contaminacion incipiente;128;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;7;Contaminacion moderada;133;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;8;Contaminacion moderada;140;Aguas de calidad excelente;;
Grande de Terraba;Volcan;PS-GTE-06;V;2019;2020;UNA;2;2;2;c(563052, 1014805);563052;1014805;PS-GTE-06;Puntarenas;Buenos Aires;Volcan;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;62;Aguas de calidad regular, contaminacion moderada;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;5;Contaminacion incipiente;95;Aguas de calidad regular, contaminacion moderada;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;7;Contaminacion moderada;109;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;10;Aguas de calidad mala, muy contaminadas;134;Aguas de calidad excelente;;
Grande de Terraba;Coto Brus;PS-GTE-07;V;2019;2020;UNA;2;1;2;c(606327, 984614);606327;984614;PS-GTE-07;Puntarenas;Coto Brus;San Vito;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;125;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;3;Sin contaminacion;169;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;6;Contaminacion incipiente;144;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;8;Contaminacion moderada;137;Aguas de calidad excelente;;
Grande de Terraba;Coto Brus;PS-GTE-08;V;2019;2020;UNA;3;2;3;c(589428, 995105);589428;995105;PS-GTE-08;Puntarenas;Coto Brus;San Vito;Agosto;2019;Estacion lluviosa;7;Contaminacion moderada;80;Aguas de calidad regular, contaminacion moderada;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;6;Contaminacion incipiente;103;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;5;Contaminacion incipiente;109;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;8;Contaminacion moderada;95;Aguas de calidad regular, contaminacion moderada;;
Peninsula de Osa;Sierpe;PS-POS-01;V;2019;2020;UCR;3;1;3;c(574425,84, 973585,82);574425,84;973585,82;Punto 8, Rio Sierpe, Finca Cartago;Puntarenas;Osa;Sierpe;Agosto;2019;Estacion lluviosa;7;Contaminacion moderada;130;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Peninsula de Osa;Sierpe;PS-POS-02;V;2019;2020;UCR;2;4;4;c(561638,5, 978793,43);561638,5;978793,43;Punto 7, Rio Sierpe, poblado La Hacienda;Puntarenas;Osa;Sierpe;Agosto;2019;Estacion lluviosa;6;Contaminacion incipiente;35;Aguas de calidad mala, muy contaminadas;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Peninsula de Osa;Progreso;PS-POS-03;V;2019;2020;TEC;2;1;2;c(540780, 963406);540780;963406;El Progreso ;Puntarenas;Osa;Sierpe;Agosto;2019;Estacion lluviosa;6;Contaminacion incipiente;123;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;4;Contaminacion incipiente;107;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;5;Contaminacion incipiente;89;Aguas de calidad regular, contaminacion moderada;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;8;Contaminacion moderada;82;Aguas de calidad regular, contaminacion moderada;;
Peninsula de Osa;Drake;PS-POS-04;V;2019;2020;TEC;2;1;2;c(540031, 963224);540031;963224;El Progreso ;Puntarenas;Osa;Sierpe;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;116;Aguas de calidad buena, no contaminadas;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;5;Contaminacion incipiente;156;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;4;Contaminacion incipiente;145;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;3;Sin contaminacion;141;Aguas de calidad excelente;;
Peninsula de Osa;Q. El Carmen;PS-POS-05;V;2019;2020;TEC;2;2;2;c(537199, 960976);537199;960976;Drake centro ;Puntarenas;Osa;Sierpe;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;93;Aguas de calidad regular, contaminacion moderada;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;4;Contaminacion incipiente;126;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;4;Contaminacion incipiente;168;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;3;Sin contaminacion;145;Aguas de calidad excelente;;
Peninsula de Osa;Rincon;PS-POS-06;V;2019;2020;TEC;2;1;2;c(556454, 952686);556454;952686;Pavones;Puntarenas;Golfito;Puerto Jimenez;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;109;Aguas de calidad buena, no contaminadas;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;3;Sin contaminacion;149;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;6;Contaminacion incipiente;126;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;3;Sin contaminacion;131;Aguas de calidad excelente;;
Peninsula de Osa;Rincon;PS-POS-07;V;2019;2020;TEC;2;2;2;c(557699, 960827);557699;960827;Rincon ;Puntarenas;Golfito;Puerto Jimenez;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;81;Aguas de calidad regular, contaminacion moderada;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;4;Contaminacion incipiente;98;Aguas de calidad regular, contaminacion moderada;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;4;Contaminacion incipiente;77;Aguas de calidad regular, contaminacion moderada;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;4;Contaminacion incipiente;81;Aguas de calidad regular, contaminacion moderada;;
Peninsula de Osa;Tigre;PS-POS-08;V;2019;2020;TEC;1;1;1;c(565955, 942456);565955;942456;Gallardo;Puntarenas;Golfito;Puerto Jimenez;Agosto;2019;Estacion lluviosa;3;Sin contaminacion;114;Aguas de calidad buena, no contaminadas;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;3;Sin contaminacion;109;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;5;Contaminacion incipiente;146;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;4;Contaminacion incipiente;116;Aguas de calidad excelente;;
Peninsula de Osa;Tigre;PS-POS-09;V;2019;2020;TEC;2;2;2;c(573396, 945256);573396;945256;Puente sobre rio Tigre ;Puntarenas;Golfito;Puerto Jimenez;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;68;Aguas de calidad regular, contaminacion moderada;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;4;Contaminacion incipiente;93;Aguas de calidad regular, contaminacion moderada;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;4;Contaminacion incipiente;113;Aguas de calidad excelente;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;3;Sin contaminacion;92;Aguas de calidad regular, contaminacion moderada;;
Peninsula de Osa;Q. Cacao;PS-POS-10;V;2019;2020;TEC;2;4;4;c(576705, 943931);576705;943931;Calle Manglar/ Puerto Jimenez centro ;Puntarenas;Golfito;Puerto Jimenez;Agosto;2019;Estacion lluviosa;6;Contaminacion incipiente;17;Aguas de calidad mala, muy contaminadas;SUSPENDIDO EL MONITOREO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Peninsula de Osa;Afluente quebrada Cacao;PS-POS-10.1;V;2019;2020;TEC;3;3;3;c(576535, 943377);576535;943377;Calle Manglar/ Puerto Jimenez centro. Aguas arriba del punto 10;Puntarenas;Golfito;Puerto Jimenez;Agosto;2019;Estacion lluviosa;N/A;N/A;N/A;N/A;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;7;Contaminacion moderada;58;Aguas de calidad mala, contaminadas;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;9;Contaminacion moderada;88;Aguas de calidad regular, contaminacion moderada;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;7;Contaminacion moderada;47;Aguas de calidad mala, contaminadas;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
